33 - 64 : Pierre
64 - 76 : Lin
76 - 88 : Anaclet, aussi appelé Clet
1009 - 1012 : Serge IV
1012 - 1024 : Benoît VIII (Théophilacte de Tusculum)
1012 - 1032 : Jean XIX (Romano de Tusculum)
1032 - 1044 puis 1045 - 1045 puis 1047 - 1048 : Benoît IX (Théophilacte de Tusculum)
1045 - 1045 : Sylvestre III
1045 - 1045 : Benoît IX (Théophilacte de Tusculum)
1045 - 1046 : Grégoire VI (Jean Gratien)
1046 - 1047 : Clément II (Suidger de Morsleben)
1047 - 1048 : Benoît IX (Théophilacte de Tusculum)
1048 - 1048 : Damase II (Poppon de Brixen)
1049 - 1054 : Léon IX (Brunon d'Egisheim)
1055 - 1057 : Victor II (Gebhart)
1057 - 1058 : Etienne IX (Frédéric de Lorraine)
1059 - 1061 : Nicolas II (Gérard de Bourgogne)
1061 - 1073 : Alexandre II (Anselme da Baggio)
1073 - 1085 : Grégoire VII(Hildebrand)
1086 - 1087 : Victor III (Didier de Marsi)
1088 - 1099 : Urbain II (Eudes de Châtillon)
1099 - 1118 : Pascal II (Rainier de Beida)
1118 - 1119 : Gélase II (Giovanni Caetani)
1119 - 1124 : Calixte II (Guy de Bourgogne)
1124 - 1130 : Honorius II (Lamberto)
1130 - 1143 : Innocent II (Gregorio Papareschi)
1143 - 1144 : Célestin II (Guido di Castello)
1144 - 1145 : Lucius II (Gerardo Caccianemici)
1145 - 1153 : Eugène III (Bernardo dei Paganelli)
1153 - 1154 : Anastase IV (Corrado)
1154 - 1159 : Adrien IV (Nicolas Breackspear)
1159 - 1181 : Alexandre III (Ronaldo Bandinelli)
1181 - 1185 : Lucius III (Ubaldo Allucingoli)
1185 - 1187 : Urbain III (Uberto Crivelli)
1187 - 1187 : Grégoire VIII (Alberto de Morra)
1187 - 1191 : Clément III (Paolo Scolari)
1191 - 1198 : Célestin III (Giacinto Bone)
1198 - 1216 : Innocent III (Lotario di Segni)
1216 - 1227 : Honorius III (Censio Savelli)
1127 - 1241 : Grégoire IX (Ugolino di Segni)
1241 - 1241 : Célestin IV (Giofredo Castiglioni)
1243 - 1254 : Innocent IV (Sinibaldo Fieschi)
1254 - 1261 : Alexandre IV (Rinaldo di Segni)
1261 - 1264 : Urbain IV (Jacques Pantaléon)
1265 - 1268 : Clément IV (Gui Foucois)
1271 - 1276 : Grégoire X (Tebaldo Visconti)
1276 - 1276 : Innocent V (Pierre de Tarentaise)
1276 - 1276 : Adrien V (Ottobuono Fieschi)
1276 - 1277 : Jean XXI (Pietro Iuliani)
1277 - 1280 : Nicolas III (Giovanni Gaetano Orsini)
1281 - 1285 : Martin IV (Simon de Brion)
1285 - 1287 : Honorius IV (Giacomo Savelli)
1288 - 1292 : Nicolas IV (Giralomo Masci)
1294 - 1294 : Célestin V (Pietro di Morrone), a abdiqué. Il est mort en 1296.
1294 - 1303 : Boniface VIII (Benedetto Caetani)
1303 - 1304 : Benoît XI (Niccolo Boccasini)
1305 - 1314 : Clément V (Bertrand de Got)
1316 - 1334 : Jean XXII (Jacques Duèze)
1334 - 1342 : Benoît XII (Jacques Fournier)
1342 - 1352 : Clément VI (Pierre Roger de Beaufort)
1352 - 1362 : Etienne Aubert
1362 - 1370 : Urbain V (Guillaume de Grimoard)
1370 - 1378 : Grégoire XI (Pierre Roger Rosiers)
1378 - 1389 : Urbain VI (Bartolomeo Prignano)
1389 - 1404 : Boniface IX (Pietro Tommacelli)
1404 - 1406 : Innocent VII (Cosimo Miglioratti)
1406 - 1415 : Grégoire XII (Angelo Correr). Il est mort en 1417.
1417 - 1431 : Martin V (Oddone Colonna)
1431 - 1447 : Eugène IV (Gabriele Condulmer)
1447 - 1455 : Nicolas V (Tommaso Parentucelli)
1455 - 1458 : Calixte III (Alonso Borgia)
1458 - 1464 : Pie II (Enea Silvio Piccolomini)
1464 - 1471 : Paul II (Pietro Barbo)
1471 - 1484 : Sixte IV (Francesco Della Rovere)
1484 - 1492 : Innocent VIII (Gianbattista Sibo)
1492 - 1503 : Alexandre VI (Rodrigo Borgia)
1503 - 1503 : Pie III (Francesco Piccolomini)
1503 - 1513 : Jules II (Giuliano Della Rovere)
1513 - 1521 : Léon X (Giovanni de Medici)
1522 - 1523 : Adrien VI (Adrien Floriszoon)
1523 - 1534 : Clément VII (Giulio de Medici)
1534 - 1549 : Paul III (Alexandre Farnèse)
1550 - 1555 : Jules III (Giovanni Del Monte)
1555 - 1555 : Marcel II (Marcello Cervini)
1555 - 1559 : Paul IV (Gian Pietro Carafa)
1559 - 1565 : Pie IV (Gianangelo de Medici)
1566 - 1572 : Pie V (Michele Ghislieri)
1572 - 1585 : Grégoire XIII (Ugo Buoncompagni)
1585 - 1590 : Sixte V (Felice Peretti)
1590 - 1590 : Urbain VII (Gian Battista Castagna)
1590 - 1591 : Grégoire XIV (Niccolo Sfondrati)
1591 - 1591 : Innocent IX (Gian Antonio Faccinetti)
1592 - 1605 : Clément VIII (Ippolito Albobrandini)
1605 - 1605 : Léon XI (Alessandro de Medici)
1605 - 1621 : Paul V (Camillo Borghese)
1621 - 1623 : Grégoire XV (Alessandro Ludivisi)
1623 - 1644 : Urbain VIII (Maffeo Barberini)
1644 - 1655 : Innocent X (Gian Battista Pamfili)
1655 - 1667 : Alexandre VII (Fabio Chigi)
1667 - 1669 : Clément IX (Giulio Rospigliosi)
1670 - 1676 : Clément X (Emilio Altieri)
1676 - 1689 : Innocent XI (Benedetto Odelcalchi)
1689 - 1691 : Alexandre VIII (Pietro Ottoboni)
1691 - 1700 : Innocent XII (Antonio Pignatelli)
1700 - 1721 : Clément XI (Gian Francesco Albani)
1721 - 1724 : Innocent XIII (Michelangelo de Conti)
1724 - 1730 : Benoît XIII (Pietro Orsini)
1730 - 1740 : Clément XII (Lorenzo Corsini)
1740 - 1758 : Benoît XIV (Prospero Lambertini)
1758 - 1769 : Clément XIII (Carlo Rezzonico)
1769 - 1774 : Clément XIV (Vincenzo Ganganelli)
1775 - 1799 : Pie VI (Angelo Braschi)
1800 - 1823 : Pie VII (Barnabo Chiaramonti)
1823 - 1829 : Léon XII (Annibale Della Genga)
1829 - 1830 : Pie VIII (Francesco Castiglioni)
1831 - 1846 : Grégoire XVI (Mauro Capellari)
1846 - 1878 : Pie IX (Giovanni Maria Mastai Ferretti)
1878 - 1903 : Léon XIII (Giocchiano Pecci)
1903 - 1914 : Pie X (Giuseppe Sarto)
1913 - 1922 : Benoît XV (Giacomo Della Chiesa)
1922 - 1939 : Pie XI (Achille Ratti)
1939 - 1958 : Pie XII (Eugenio Pacelli)
1958 - 1963 : Jean XXIII (Angelo Roncalli)
1963 - 1978 : Paul VI (Giovanni Battista Montini)
1978 - 1978 : Jean-Paul Ier (Albino Luciani)
1978 - 2005 : Jean-Paul II (Karol Wojtyla)
2005 - 2013 : Benoît XVI (Joseph Ratzinger), a abdiqué.
2013 - : François (Jose Mario Bergoglio)
